ID,Title,Topic(s),Summary,Link,DOI
070926_01,Next-Generation Metabolic Models: From Multi-Constraint Integration to AI-Driven Whole-Cell Kinetic Simulation,Review-Metabolic modelling-Whole-cell models,"Reviews next-generation metabolic models from multi-constraint integration to AI-driven whole-cell kinetic simulation, including flux balance analysis and metabolic pathway analysis.",https://doi.org/10.1016/j.coisb.2026.100606,10.1016/j.coisb.2026.100606
070926_02,DigiPhen: a new paradigm for building predictive models of biological systems,Systems Biology-Metabolic Modelling-Predictive models,"Presents DigiPhen, a digital phenome platform that combines experimental, analytical, and modeling workflows to build multi-scale predictive models of microbial and plant phenotypes.",https://arxiv.org/abs/2608.22079,
070926_03,PEtab SciML: an exchange format for specifying and training dynamic scientific machine learning models,Machine Learning-Hybrid modelling-Systems Biology,"Introduces PEtab SciML, an exchange format and tooling for specifying and jointly training mechanistic ODE and machine-learning components in dynamic scientific machine-learning models.",https://arxiv.org/abs/2608.20184,
070926_04,A Structural Theory of Admissible Transitions in Biological Reaction Networks,Systems Biology-Metabolic networks-Reaction networks,"Introduces admissible transitions, a kinetics-independent structural criterion for feasible changes between species configurations in biological reaction networks.",https://arxiv.org/abs/2608.27201,
070926_05,Application and progress of synthetic biology technology in amino acid production,Review-Synthetic Biology-Metabolic Engineering,"Reviews synthetic biology strategies for amino acid production, covering metabolic pathway design, genetic circuits, dynamic regulation, and high-throughput screening.",https://link.springer.com/article/10.1007/s00449-026-03389-5,10.1007/s00449-026-03389-5
070926_06,Metabolic engineering of Rhodococcus aromaticivorans RHA1 for muconic acid production from lignin,Metabolic Engineering-Lignin valorization-Rhodococcus,"Engineers Rhodococcus aromaticivorans RHA1 to convert kraft lignin-derived aromatics (vanillin, vanillate, and acetovanillone) to muconic acid at 97% molar yield.",https://www.sciencedirect.com/science/article/pii/S1096717626001266,10.1016/j.ymben.2026.102531
070926_07,Improving acetate metabolism of P. putida KT2440 by evolutionary and rational engineering,Metabolic Engineering-ALE-Pseudomonas putida,Combines rational overexpression of acetyl-CoA synthetase with adaptive laboratory evolution to improve Pseudomonas putida KT2440 growth and HAA production on acetate.,https://www.biorxiv.org/content/10.64898/2026.08.21.746131v1,10.64898/2026.08.21.746131
070926_08,Engineering Escherichia coli to modulate hydrogen sulfide levels using insights from intestinal sulfur metabolism,Metabolic Engineering-Escherichia coli-Strain design,Engineers Escherichia coli strains to produce or consume hydrogen sulfide in specific intestinal regions by incorporating local metabolic environment into the design.,https://www.sciencedirect.com/science/article/pii/S1096717626001357,10.1016/j.ymben.2026.102540
070926_09,Engineering Synthetic Membraneless Organelles Towards Efficient Hydrogen Production in Escherichia coli,Metabolic Engineering-Escherichia coli-Synthetic Biology,Engineers synthetic membraneless organelles in Escherichia coli to compartmentalize hydrogenase activity toward more efficient hydrogen production.,https://doi.org/10.31635/ccschem.026.202608010,10.31635/ccschem.026.202608010
070926_10,Engineering Microbial Consortia for Coordinated Control of Metabolic Roles and Electron Flows in Dark-Fermentative Hydrogen Production,Review-Microbial Communities-Metabolic Engineering,Reviews microbial consortium engineering to coordinate metabolic roles and electron flows for more selective and stable dark-fermentative hydrogen production.,https://www.mdpi.com/2673-8783/6/5/67,10.3390/biomass6050067
