ID,Title,Topic(s),Summary,Link,DOI
140926_01,GENKI: A generative framework for scalable and robust metabolic kinetic modeling,Metabolic modelling-Deep Learning-Kinetic models,"Presents GENKI, a variational autoencoder-based framework for large-scale kinetic modeling of metabolism that recovers kinetically feasible models matching observed phenotypes under genetic and environmental perturbations.",https://doi.org/10.1016/j.ymben.2026.102530,10.1016/j.ymben.2026.102530
140926_02,BioEMMA: Automated Generation of Model-Specific Escher-Compatible Maps from KEGG Pathways,Metabolic modelling-GEM-Pathway visualization,"Presents BioEMMA, a tool that automatically generates model-specific Escher-compatible maps from KEGG pathways to support reproducible visualization of genome-scale metabolic models.",https://www.mdpi.com/2079-7737/15/17/1493,10.3390/biology15171493
140926_03,A standardized SBML/PRISM benchmark library for stochastic model checking in synthetic biology,Systems Biology-Synthetic Biology-Model checking,Introduces a standardized SBML/PRISM benchmark library for stochastic model checking of synthetic biological systems modeled as chemical reaction networks.,https://doi.org/10.1515/jib-2026-0002,10.1515/jib-2026-0002
140926_04,13C-Metabolic flux analysis uncovers rewiring in Escherichia coli ΔmetA metabolism and secretion of amino acids in response to methionine limitation,Metabolic modelling-13C-MFA-Escherichia coli,Uses 13C-metabolic flux analysis to map metabolic rewiring and amino-acid secretion in methionine-auxotrophic Escherichia coli ΔmetA under methionine limitation.,https://doi.org/10.1016/j.ymben.2026.102544,10.1016/j.ymben.2026.102544
140926_05,Squidly harnesses enzyme functional hierarchy and contrastive learning to efficiently predict catalytic residues from sequence,Deep Learning-Enzyme function-Protein design,"Presents Squidly, a contrastive-learning method that uses enzyme functional hierarchy to predict catalytic residues from sequence, including on low-identity test proteins.",https://elifesciences.org/articles/108186,10.7554/elife.108186
140926_06,Characterisation of metabolic burden in Pseudomonas putida reveals precursor limitation in heterologous lycopene production,Metabolic Engineering-Pseudomonas putida-Metabolic burden,Characterises metabolic burden layers in Pseudomonas putida during heterologous lycopene production and identifies precursor limitation as a key constraint.,https://link.springer.com/article/10.1186/s12934-026-03108-5,10.1186/s12934-026-03108-5
140926_07,Glucose-driven evolution of Pseudomonas putida unlocks utilization of lignocellulose-derived pentoses for bioproduction,Metabolic Engineering-ALE-Pseudomonas putida,Uses glucose-driven adaptive evolution of Pseudomonas putida KT2440 to unlock utilization of lignocellulose-derived pentoses for bioproduction.,https://doi.org/10.1039/d6gc01414c,10.1039/d6gc01414c
140926_08,Metabolic engineering and deep learning-driven protein engineering for N-Acetylneuraminic acid biosynthesis in Escherichia coli,Metabolic Engineering-Deep Learning-Protein design,"Combines metabolic engineering and deep learning-driven protein engineering for N-acetylneuraminic acid biosynthesis in Escherichia coli, including knockout of the NeuAc catabolic operon.",https://www.nature.com/articles/s41467-026-77406-2,10.1038/s41467-026-77406-2
140926_09,Genome-scale overexpression screening identifies product tolerance and efflux transport as key determinants of high-level L-tryptophan production in Escherichia coli,Metabolic Engineering-Strain design-Escherichia coli,Uses genome-scale overexpression screening in Escherichia coli to identify product tolerance and efflux transport as key determinants of high-level L-tryptophan production.,https://doi.org/10.1016/j.ymben.2026.102547,10.1016/j.ymben.2026.102547
140926_10,Metabolic Engineering Strategies for High-Level α-Pinene Production in Saccharomyces cerevisiae,Metabolic Engineering-Strain design-Saccharomyces cerevisiae,Presents metabolic engineering strategies for high-level α-pinene production in Saccharomyces cerevisiae as a renewable monoterpene feedstock.,https://doi.org/10.1021/acssuschemeng.6c03904,10.1021/acssuschemeng.6c03904
140926_11,"Biomanufacturing of 2-Pyrone-4,6-dicarboxylic Acid by an Engineered Corynebacterium glutamicum Cell Factory",Metabolic Engineering-Strain design-Corynebacterium glutamicum,"Combines metabolic engineering and fermentation process optimization to produce 2-pyrone-4,6-dicarboxylic acid in an engineered Corynebacterium glutamicum cell factory.",https://www.mdpi.com/2311-5637/12/9/418,10.3390/fermentation12090418
